Focus,Partner,Project,Impact,Completion,Description
Engagement,F,PROJECT M,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,P,PROJECT N,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,M,PROJECT O,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,C,PROJECT X,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,F,PROJECT Z,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,F,PROJECT A,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,F,PROJECT B,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,F,PROJECT C,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,F,PROJECT D,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,B,PROJECT E,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT F,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,C,PROJECT GG,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,C,PROJECT HH,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,C,PROJECT IJ,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,M,PROJECT JK,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,B,PROJECT LM,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,E,PROJECT M,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,F,PROJECT MN,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,B,PROJECT BBB,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,B,PROJECT CCC,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,C,PROJECT EEE,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,C,PROJECT FFF,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT GGG,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT III,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT JJJ,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT LLL,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,E,PROJECT MMM,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT MM,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT BBB,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT CD,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,E,PROJECT DE,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT EF,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,B,PROJECT GH,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,C,PROJECT HI,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
